ns_id, parent_id, ns_name, ns_unit, usda_id, usda_name, usda_mu, priority, normalize_formula
"3001", "1003", "Fatty acids trans", "g", "1257", "Fatty acids, total trans", "G", 1, null
"3002", "1003", "Fatty acids saturated", "g", "1258", "Fatty acids, total saturated", "G", 1, null
"3002", "1003", "Fatty acids saturated", "g", "1326", "Fatty acids, total sat., NLEA", "G", 2, null
"3003", "1003", "Fatty acids monounsaturated", "g", "1292", "Fatty acids, total monounsaturated", "G", 1, null
"3003", "1003", "Fatty acids monounsaturated", "g", "1327", "Fatty acids, total monounsat., NLEA", "G", 2, null
"3004", "1003", "Fatty acids polyunsaturated", "g", "1293", "Fatty acids, total polyunsaturated", "G", 1, null
"3004", "1003", "Fatty acids polyunsaturated", "g", "1328", "Fatty acids, total polyunsat., NLEA", "G", 2, null
"3005", "1003", "Cholesterol", "mg", "1253", "Cholesterol", "MG", 1, null
"3006", "1003", "Phospholipids", "g", "1255", "Phospholipids", "G", 1, null
"3007", "1003", "Glycolipids", "g", "1256", "Glycolipids", "G", 1, null
"3008", "1003", "Glycerides", "g", "1254", "Glycerides", "G", 1, null
"3009", "1003", "Unsaponifiable matter (lipids)", "g", "1290", "Unsaponifiable matter (lipids)", "G", 1, null
"3010", "3001", "Trans-monoenoic total", "g", "1329", "Fatty acids, total trans-monoenoic", "G", 1, null
"3011", "3001", "Trans-dienoic total", "g", "1330", "Fatty acids, total trans-dienoic", "G", 1, null
"3012", "3001", "Trans-polyenoic total", "g", "1331", "Fatty acids, total trans-polyenoic", "G", 1, null
"3013", "1003", "Wax total", "g", "1302", "Wax Esters(Total Wax)", "G", 1, null

#   PUFA Omega stubs [calculated]
"3014", "3004", "Omega-3 total", "g", null, null, null, null, null
"3015", "3004", "Omega-6 total", "g", null, null, null, null, null
"3016", "3004", "Omega-9 total", "g", null, null, null, null, null

# 4xxx — CARBOHYDRATES (parent: 1004)
"4001", "1004", "Sugars", "g", "1063", "Sugars, Total", "G", 1, null
"4011", "4001", "Sucrose", "g", "1010", "Sucrose", "G", 1, null
"4012", "4001", "Glucose", "g", "1011", "Glucose", "G", 1, null
"4013", "4001", "Fructose", "g", "1012", "Fructose", "G", 1, null
"4014", "4001", "Lactose", "g", "1013", "Lactose", "G", 1, null
"4015", "4001", "Maltose", "g", "1014", "Maltose", "G", 1, null
"4016", "1004", "Starch", "g", "1009", "Starch", "G", 1, null
"4017", "4016", "Amylose", "g", "1015", "Amylose", "G", 1, null
"4018", "1004", "Fiber", "g", "2033", "Total dietary fiber (AOAC 2011.25)", "G", 1, null
"4018", "1004", "Fiber", "g", "1079", "Fiber, total dietary", "G", 2, null
"4018", "1004", "Fiber", "g", "1006", "Fiber, crude (DO NOT USE - Archived)", "G", 3, null
"4018", "1004", "Fiber", "g", "1066", "Fiber, neutral detergent (DO NOT USE - Archived)", "G", 4, null
"4019", "4018", "Fiber soluble", "g", "1082", "Fiber, soluble", "G", 1, null
"4020", "4018", "Fiber insoluble", "g", "1084", "Fiber, insoluble", "G", 1, null
"4020", "4018", "Fiber insoluble", "g", "2034", "Insoluble dietary fiber (IDF)", "G", 2, null
"4021", "4019", "Soluble dietary fiber (SDFP)", "g", "2036", "Soluble dietary fiber (SDFP)", "G", 1, null
"4022", "4019", "Soluble dietary fiber (SDFS)", "g", "2037", "Soluble dietary fiber (SDFS)", "G", 1, null
"4023", "4019", "Soluble dietary fiber (SDFP+SDFS)", "g", "2035", "Soluble dietary fiber (SDFP+SDFS)", "G", 1, null
"4024", "4018", "High Molecular Weight Dietary Fiber", "g", "2038", "High Molecular Weight Dietary Fiber (HMWDF)", "G", 1, null
"4025", "4018", "Low Molecular Weight Dietary Fiber", "g", "2065", "Low Molecular Weight Dietary Fiber (LMWDF)", "G", 1, null
"4026", "4001", "Sugars added", "g", "1235", "Sugars, added", "G", 1, null
"4027", "4001", "Arabinose", "g", "1073", "Arabinose", "G", 1, null
"4028", "4001", "Xylose", "g", "1074", "Xylose", "G", 1, null
"4029", "4001", "Galactose", "g", "1075", "Galactose", "G", 1, null
"4030", "4001", "Raffinose", "g", "1076", "Raffinose", "G", 1, null
"4031", "4001", "Stachyose", "g", "1077", "Stachyose", "G", 1, null
"4032", "1004", "Cellulose", "g", "1022", "Cellulose", "G", 1, null
"4033", "1004", "Hemicellulose", "g", "1021", "Hemicellulose", "G", 1, null
"4034", "4001", "Ribose", "g", "1081", "Ribose", "G", 1, null
"4035", "4001", "Mannose", "g", "1399", "Mannnose", "G", 1, null
"4036", "4001", "Triose", "g", "1400", "Triose", "G", 1, null
"4037", "4001", "Tetrose", "g", "1401", "Tetrose", "G", 1, null
"4038", "1004", "Glycogen", "g", "1065", "Glycogen", "G", 1, null
"4039", "1004", "Nonstarch polysaccharides", "g", "1070", "Nonstarch polysaccharides", "G", 1, null
"4040", "4001", "Sugars intrinsic", "g", "1236", "Sugars, intrinsic", "G", 1, null
"4041", "1004", "Amylopectin", "g", "1016", "Amylopectin", "G", 1, null
"4042", "1004", "Pectin", "g", "1017", "Pectin", "G", 1, null
"4043", "1004", "Pentosan", "g", "1019", "Pentosan", "G", 1, null
"4044", "1004", "Lignin", "g", "1080", "Lignin", "G", 1, null
"4045", "4001", "Reducing sugars", "g", "1067", "Reducing sugars", "G", 1, null
"4046", "4001", "Verbascose", "g", "2063", "Verbascose", "G", 1, null
"4047", "4018", "Inulin", "g", "1403", "Inulin", "G", 1, null
"4048", "4018", "Beta-glucan", "g", "1068", "Beta-glucans", "G", 1, null
"4048", "4018", "Beta-glucan", "g", "2058", "Beta-glucan", "G", 2, null

#5xxx — VITAMINS

#   Category stubs [DTO grouping, no sum]
"5100", null, "Vitamins, water-soluble", null, null, null, null, null, null
"5200", null, "Vitamins, fat-soluble", null, null, null, null, null, null

#   Fat-soluble (DTO parent: 5200)
"5001", "5200", "Vitamin A", "mcg", "1106", "Vitamin A, RAE", "UG", 1, null
"5001", "5200", "Vitamin A", "mcg", "2067", "Vitamin A", "UG", 2, null
"5001", "5200", "Vitamin A", "mcg", "1104", "Vitamin A, IU", "IU", 3, "value * 0.3"
"5001", "5200", "Vitamin A", "mcg", "1156", "Vitamin A, RE", "MCG_RE", 4, "value * 0.8"
"5014", "5200", "Vitamin E", "mg", "1109", "Vitamin E (alpha-tocopherol)", "MG", 1, null
"5014", "5200", "Vitamin E", "mg", "1158", "Vitamin E", "MG_ATE", 2, null
"5014", "5200", "Vitamin E", "mg", "2068", "Vitamin E", "MG", 3, null
"5014", "5200", "Vitamin E", "mg", "1124", "Vitamin E (label)", "IU", 4, "value * 0.67"
"5014", "5200", "Vitamin E", "mg", "2041", "Tocopherols and tocotrienols", "MG", 5, null
"5015", "5200", "Vitamin D", "mcg", "1114", "Vitamin D (D2+D3)", "UG", 1, null
"5015", "5200", "Vitamin D", "mcg", "1110", "Vitamin D (D2+D3) IU", "IU", 2, "value * 0.025"
"5016", "5200", "Vitamin K", "mcg", "1185", "Vitamin K (phylloquinone)", "UG", 1, null

#   Water-soluble (DTO parent: 5100)
"5002", "5100", "Vitamin C", "mg", "1162", "Vitamin C, total ascorbic acid", "MG", 1, null
"5003", "5100", "Vitamin B1, Thiamin", "mg", "1165", "Thiamin", "MG", 1, null
"5004", "5100", "Vitamin B2, Riboflavin", "mg", "1166", "Riboflavin", "MG", 1, null
"5005", "5100", "Vitamin B3, Niacin", "mg", "1167", "Niacin", "MG", 1, null
"5005", "5100", "Vitamin B3, Niacin", "mg", "1169", "Niacin equivalent N406 +N407", "MG", 2, null
"5006", "5100", "Vitamin B5, Pantothenic acid", "mg", "1170", "Pantothenic acid", "MG", 1, null
"5007", "5100", "Vitamin B6", "mg", "1175", "Vitamin B-6", "MG", 1, null
"5007", "5100", "Vitamin B6", "mg", "1174", "Vitamin B-6, N411 + N412 +N413", "MG", 2, null
"5008", "5100", "Vitamin B7, Biotin", "mcg", "1176", "Biotin", "UG", 1, null
"5009", "5100", "Vitamin B8, Inositol", "mg", "1181", "Inositol", "MG", 1, null
"5010", "5100", "Inositol phosphate", "mg", "1182", "Inositol phosphate", "MG", 1, null
"5011", "5100", "Vitamin B9, Folate", "mcg", "1190", "Folate, DFE", "UG", 1, null
"5011", "5100", "Vitamin B9, Folate", "mcg", "1177", "Folate, total", "UG", 2, null
"5012", "5100", "Vitamin B12", "mcg", "1178", "Vitamin B-12", "UG", 1, null
"5013", "5100", "Choline", "mg", "1180", "Choline, total", "MG", 1, null

# 6xxx — MINERALS
"6000", null, "Minerals", "mg", "2043", "Minerals", "MG", 1, null

#   Category stubs [DTO grouping]
"6100", "6000", "Macrominerals", null, null, null, null, null, null
"6200", "6000", "Trace minerals", null, null, null, null, null, null
"6300", "6000", "Heavy metals", null, null, null, null, null, null

#   Macrominerals (parent: 6100)
"6001", "6100", "Chlorine, Cl", "mg", "1088", "Chlorine, Cl", "MG", 1, null
"6002", "6100", "Magnesium, Mg", "mg", "1090", "Magnesium, Mg", "MG", 1, null
"6003", "6100", "Phosphorus, P", "mg", "1091", "Phosphorus, P", "MG", 1, null
"6004", "6100", "Potassium, K", "mg", "1092", "Potassium, K", "MG", 1, null
"6005", "6100", "Sodium, Na", "mg", "1093", "Sodium, Na", "MG", 1, null
"6006", "6100", "Sulfur, S", "mg", "1094", "Sulfur, S", "MG", 1, null
"6036", "6100", "Iron, Fe", "mg", "1089", "Iron, Fe", "MG", 1, null
"6041", "6100", "Calcium, Ca", "mg", "1087", "Calcium, Ca", "MG", 1, null

#   Trace minerals (parent: 6200)
"6007", "6200", "Zinc, Zn", "mg", "1095", "Zinc, Zn", "MG", 1, null
"6008", "6200", "Chromium, Cr", "mcg", "1096", "Chromium, Cr", "UG", 1, null
"6009", "6200", "Cobalt, Co", "mcg", "1097", "Cobalt, Co", "UG", 1, null
"6010", "6200", "Copper, Cu", "mg", "1098", "Copper, Cu", "MG", 1, null
"6011", "6200", "Fluoride, F", "mcg", "1099", "Fluoride, F", "UG", 1, null
"6011", "6200", "Fluoride, F", "mcg", "1148", "Fluoride - DO NOT USE; use 313", "UG", 2, null
"6012", "6200", "Iodine, I", "mcg", "1100", "Iodine, I", "UG", 1, null
"6013", "6200", "Manganese, Mn", "mg", "1101", "Manganese, Mn", "MG", 1, null
"6014", "6200", "Molybdenum, Mo", "mcg", "1102", "Molybdenum, Mo", "UG", 1, null
"6015", "6200", "Selenium, Se", "mcg", "1103", "Selenium, Se", "UG", 1, null
"6021", "6200", "Boron, B", "mcg", "1137", "Boron, B", "UG", 1, null
"6028", "6200", "Nickel, Ni", "mcg", "1146", "Nickel, Ni", "UG", 1, null
"6030", "6200", "Silicon, Si", "mcg", "1150", "Silicon, Si", "UG", 1, null
"6035", "6200", "Vanadium, V", "mcg", "1155", "Vanadium, V", "UG", 1, null

#   Heavy metals (parent: 6300)
"6016", "6300", "Aluminum, Al", "mcg", "1132", "Aluminum, Al", "UG", 1, null
"6017", "6300", "Antimony, Sb", "mcg", "1133", "Antimony, Sb", "UG", 1, null
"6018", "6300", "Arsenic, As", "mcg", "1134", "Arsenic, As", "UG", 1, null
"6019", "6300", "Barium, Ba", "mcg", "1135", "Barium, Ba", "UG", 1, null
"6020", "6300", "Beryllium, Be", "mcg", "1136", "Beryllium, Be", "UG", 1, null
"6022", "6300", "Bromine, Br", "mcg", "1138", "Bromine, Br", "UG", 1, null
"6023", "6300", "Cadmium, Cd", "mcg", "1139", "Cadmium, Cd", "UG", 1, null
"6024", "6300", "Gold, Au", "mcg", "1140", "Gold, Au", "UG", 1, null
"6025", "6300", "Lead, Pb", "mcg", "1143", "Lead, Pb", "UG", 1, null
"6026", "6300", "Lithium, Li", "mcg", "1144", "Lithium, Li", "UG", 1, null
"6027", "6300", "Mercury, Hg", "mcg", "1145", "Mercury, Hg", "UG", 1, null
"6029", "6300", "Rubidium, Rb", "mcg", "1147", "Rubidium, Rb", "UG", 1, null
"6031", "6300", "Silver, Ag", "mcg", "1151", "Silver, Ag", "UG", 1, null
"6032", "6300", "Strontium, Sr", "mcg", "1152", "Strontium, Sr", "UG", 1, null
"6033", "6300", "Tin, Sn", "mcg", "1153", "Tin, Sn", "UG", 1, null
"6034", "6300", "Titanium, Ti", "mcg", "1154", "Titanium, Ti", "UG", 1, null

#   Mineral fractions
"6037", "6036", "Iron, heme", "mg", "1141", "Iron, heme", "MG", 1, null
"6038", "6036", "Iron, non-heme", "mg", "1142", "Iron, non-heme", "MG", 1, null
"6039", "6036", "Iron, added", "mg", "1238", "Iron, added", "MG", 1, null
"6040", "6036", "Iron, intrinsic", "mg", "1240", "Iron, intrinsic", "MG", 1, null
"6042", "6041", "Calcium, added", "mg", "1237", "Calcium, added", "MG", 1, null
"6043", "6041", "Calcium, intrinsic", "mg", "1239", "Calcium, intrinsic", "MG", 1, null

# 7xxx — FRACTIONS (various parents)


#   Vitamin A fractions (parent: 5001)
"7001", "5001", "Retinol", "mcg", "1105", "Retinol", "UG", 1, null
"7002", "5001", "Carotene beta", "mcg", "1107", "Carotene, beta", "UG", 1, null
"7003", "5001", "Carotene alpha", "mcg", "1108", "Carotene, alpha", "UG", 1, null
"7004", "5001", "Cryptoxanthin beta", "mcg", "1120", "Cryptoxanthin, beta", "UG", 1, null
"7045", "5001", "Cryptoxanthin alpha", "mcg", "2032", "Cryptoxanthin, alpha", "UG", 1, null
"7046", "5001", "cis-beta-Carotene", "mcg", "1159", "cis-beta-Carotene", "UG", 1, null
"7047", "5001", "trans-beta-Carotene", "mcg", "2028", "trans-beta-Carotene", "UG", 1, null
"7048", "5001", "Carotene, gamma", "mcg", "1118", "Carotene, gamma", "UG", 1, null

#   Carotene total 7049: use ONLY if 7002, 7003, 7048 are all absent
"7049", "5001", "Carotene (total)", "mcg", "1157", "Carotene", "MCG_RE", 1, "value * 6"

#    Vitamin C fractions (parent: 5002)
"7005", "5002", "Vitamin C, reduced ascorbic acid", "mg", "1163", "Vitamin C, reduced ascorbic acid", "MG", 1, null
"7006", "5002", "Vitamin C, dehydro ascorbic acid", "mg", "1164", "Vitamin C, dehydro ascorbic acid", "MG", 1, null
"7007", "5002", "Vitamin C, added", "mg", "1241", "Vitamin C, added", "MG", 1, null
"7008", "5002", "Vitamin C, intrinsic", "mg", "1247", "Vitamin C, intrinsic", "MG", 1, null

#    Vitamin B1 fractions (parent: 5003)
"7009", "5003", "Vitamin B1, added", "mg", "1243", "Thiamin, added", "MG", 1, null
"7010", "5003", "Vitamin B1, intrinsic", "mg", "1249", "Thiamin, intrinsic", "MG", 1, null

#    Vitamin B2 fractions (parent: 5004)
"7011", "5004", "Vitamin B2, added", "mg", "1244", "Riboflavin, added", "MG", 1, null
"7012", "5004", "Vitamin B2, intrinsic", "mg", "1250", "Riboflavin, intrinsic", "MG", 1, null

#    Vitamin B3 fractions (parent: 5005)
"7013", "5005", "Vitamin B3, added", "mg", "1245", "Niacin, added", "MG", 1, null
"7014", "5005", "Vitamin B3, intrinsic", "mg", "1251", "Niacin, intrinsic", "MG", 1, null

#    Vitamin B6 fractions (parent: 5007)
"7015", "5007", "Vitamin B6, pyridoxine", "mg", "1171", "Vitamin B-6, pyridoxine, alcohol form", "MG", 1, null
"7016", "5007", "Vitamin B6, pyridoxal", "mg", "1172", "Vitamin B-6, pyridoxal, aldehyde form", "MG", 1, null
"7017", "5007", "Vitamin B6, pyridoxamine", "mg", "1173", "Vitamin B-6, pyridoxamine, amine form", "MG", 1, null

#    Vitamin B9 fractions (parent: 5011)
"7018", "5011", "Folic acid", "mcg", "1186", "Folic acid", "UG", 1, null
"7019", "5011", "Folate, food", "mcg", "1187", "Folate, food", "UG", 1, null
"7020", "5011", "5-methyl tetrahydrofolate (5-MTHF)", "mcg", "1188", "5-methyl tetrahydrofolate (5-MTHF)", "UG", 1, null

#    Vitamin B12 fractions (parent: 5012)
"7021", "5012", "Vitamin B12, added", "mcg", "1246", "Vitamin B-12, added", "UG", 1, null
"7022", "5012", "Vitamin B12, intrinsic", "mcg", "1252", "Vitamin B-12, intrinsic", "UG", 1, null

#    Choline fractions (parent: 5013)
"7023", "5013", "Choline, free", "mg", "1194", "Choline, free", "MG", 1, null
"7024", "5013", "Choline, from phosphocholine", "mg", "1195", "Choline, from phosphocholine", "MG", 1, null
"7025", "5013", "Choline, from phosphotidyl choline", "mg", "1196", "Choline, from phosphotidyl choline", "MG", 1, null
"7026", "5013", "Choline, from glycerophosphocholine", "mg", "1197", "Choline, from glycerophosphocholine", "MG", 1, null
"7027", "5013", "Choline, from sphingomyelin", "mg", "1199", "Choline, from sphingomyelin", "MG", 1, null
"7177", "5013", "Betaine", "mg", "1198", "Betaine", "MG", 1, null

#    Vitamin E fractions (parent: 5014)
"7175", "5014", "Total Tocopherols", "mg", "2055", "Total Tocopherols", "MG", 1, null
"7028", "7175", "Tocopherol, beta", "mg", "1125", "Tocopherol, beta", "MG", 1, null
"7029", "7175", "Tocopherol, gamma", "mg", "1126", "Tocopherol, gamma", "MG", 1, null
"7030", "7175", "Tocopherol, delta", "mg", "1127", "Tocopherol, delta", "MG", 1, null
"7176", "5014", "Total Tocotrienols", "mg", "2054", "Total Tocotrienols", "MG", 1, null
"7031", "7176", "Tocotrienol, alpha", "mg", "1128", "Tocotrienol, alpha", "MG", 1, null
"7032", "7176", "Tocotrienol, beta", "mg", "1129", "Tocotrienol, beta", "MG", 1, null
"7033", "7176", "Tocotrienol, gamma", "mg", "1130", "Tocotrienol, gamma", "MG", 1, null
"7034", "7176", "Tocotrienol, delta", "mg", "1131", "Tocotrienol, delta", "MG", 1, null
"7035", "5014", "Vitamin E, added", "mg", "1242", "Vitamin E, added", "MG", 1, null
"7036", "5014", "Vitamin E, intrinsic", "mg", "1248", "Vitamin E, intrinsic", "MG", 1, null

#    Vitamin D fractions (parent: 5015)
"7037", "5015", "Vitamin D2", "mcg", "1111", "Vitamin D2 (ergocalciferol)", "UG", 1, null
"7038", "5015", "Vitamin D3", "mcg", "1112", "Vitamin D3 (cholecalciferol)", "UG", 1, null
"7039", "5015", "Vitamin D4", "mcg", "2059", "Vitamin D4", "UG", 1, null
"7040", "5015", "25-hydroxycholecalciferol", "mcg", "1113", "25-hydroxycholecalciferol", "UG", 1, null
"7041", "5015", "25-hydroxyergocalciferol", "mcg", "1115", "25-hydroxyergocalciferol", "UG", 1, null

#    Vitamin K fractions (parent: 5016)
"7042", "5016", "Menaquinone-4 (K2)", "mcg", "1183", "Vitamin K (Menaquinone-4)", "UG", 1, null
"7043", "5016", "Dihydrophylloquinone", "mcg", "1184", "Vitamin K (Dihydrophylloquinone)", "UG", 1, null

#   TFA fractions (parent: 3001)
"7050", "3001", "TFA 14:1 t", "g", "1281", "TFA 14:1 t", "G", 1, null
"7051", "3001", "TFA 16:1 t", "g", "1303", "TFA 16:1 t", "G", 1, null
"7052", "3001", "TFA 17:1", "g", "2011", "TFA 17:1 t", "G", 1, null
"7053", "3001", "TFA 18:1", "g", "1304", "TFA 18:1 t", "G", 1, null
"7054", "3001", "TFA 18:2 t", "g", "2017", "TFA 18:2 t", "G", 1, null
"7054", "3001", "TFA 18:2 t", "g", "1306", "TFA 18:2 t not further defined", "G", 2, null
"7055", "3001", "TFA 18:2 t,t", "g", "1310", "TFA 18:2 t,t", "G", 1, null
"7056", "3001", "TFA 18:3 t", "g", "2019", "TFA 18:3 t", "G", 1, null
"7057", "3001", "TFA 20:1 t", "g", "2013", "TFA 20:1 t", "G", 1, null
"7058", "3001", "TFA 22:1 t", "g", "1305", "TFA 22:1 t", "G", 1, null

#    SFA fractions (parent: 3002)
"7059", "3002", "SFA 4:0 Butyric acid", "g", "1259", "SFA 4:0", "G", 1, null
"7060", "3002", "SFA 5:0 Valeric acid", "g", "2003", "SFA 5:0", "G", 1, null
"7061", "3002", "SFA 6:0 Caproic acid", "g", "1260", "SFA 6:0", "G", 1, null
"7062", "3002", "SFA 7:0", "g", "2004", "SFA 7:0", "G", 1, null
"7063", "3002", "SFA 8:0 Caprylic acid", "g", "1261", "SFA 8:0", "G", 1, null
"7064", "3002", "SFA 9:0 Nonanoic acid", "g", "2005", "SFA 9:0", "G", 1, null
"7065", "3002", "SFA 10:0 Capric acid", "g", "1262", "SFA 10:0", "G", 1, null
"7066", "3002", "SFA 11:0 Undecanoic acid", "g", "1335", "SFA 11:0", "G", 1, null
"7067", "3002", "SFA 12:0 Lauric acid", "g", "1263", "SFA 12:0", "G", 1, null
"7068", "3002", "SFA 13:0 Tridecanoic acid", "g", "1332", "SFA 13:0", "G", 1, null
"7069", "3002", "SFA 14:0 Myristic acid", "g", "1264", "SFA 14:0", "G", 1, null
"7070", "3002", "SFA 15:0 Pentadecanoic acid", "g", "1299", "SFA 15:0", "G", 1, null
"7071", "3002", "SFA 16:0 Palmitic acid", "g", "1265", "SFA 16:0", "G", 1, null
"7072", "3002", "SFA 17:0 Heptadecanoic acid", "g", "1300", "SFA 17:0", "G", 1, null
"7073", "3002", "SFA 18:0 Stearic acid", "g", "1266", "SFA 18:0", "G", 1, null
"7074", "3002", "SFA 19:0 Nonadecanoic acid", "g", "1322", "SFA 19:0", "G", 1, null
"7075", "3002", "SFA 20:0 Arachidic acid", "g", "1267", "SFA 20:0", "G", 1, null
"7076", "3002", "SFA 21:0 Heneicosanoic acid", "g", "2006", "SFA 21:0", "G", 1, null
"7077", "3002", "SFA 22:0 Behenic acid", "g", "1273", "SFA 22:0", "G", 1, null
"7078", "3002", "SFA 23:0 Tricosanoic acid", "g", "2007", "SFA 23:0", "G", 1, null
"7079", "3002", "SFA 24:0 Lignoceric acid", "g", "1301", "SFA 24:0", "G", 1, null
"7120", "3002", "Other saturated fatty acids", "g", "1318", "Fatty acids, saturated, other", "G", 1, null

#    MUFA fractions (parent: 3003)
"7080", "3003", "MUFA 12:1 Lauroleic acid", "g", "2008", "MUFA 12:1", "G", 1, null
"7081", "3003", "MUFA 14:1 Myristoleic acid", "g", "1274", "MUFA 14:1", "G", 1, null
"7082", "3003", "MUFA 14:1 c cis-Myristoleic acid", "g", "2009", "MUFA 14:1 c", "G", 1, null
"7083", "3003", "MUFA 15:1", "g", "1333", "MUFA 15:1", "G", 1, null
"7084", "3003", "MUFA 16:1 Palmitoleic acid", "g", "1275", "MUFA 16:1", "G", 1, null
"7085", "3003", "MUFA 16:1 c cis-Palmitoleic acid", "g", "1314", "MUFA 16:1 c", "G", 1, null
"7086", "3003", "MUFA 17:1 Heptadecenoic acid", "g", "1323", "MUFA 17:1", "G", 1, null
"7087", "3003", "MUFA 17:1 c cis-Heptadecenoic acid", "g", "2010", "MUFA 17:1 c", "G", 1, null
"7088", "3003", "MUFA 18:1 Oleic acid", "g", "1268", "MUFA 18:1", "G", 1, null
"7089", "3003", "MUFA 18:1 c cis-Oleic acid", "g", "1315", "MUFA 18:1 c", "G", 1, null
"7090", "3003", "MUFA 18:1-11 t trans-Vaccenic acid", "g", "1412", "MUFA 18:1-11 t (18:1t n-7)", "G", 1, null
"7091", "3003", "MUFA 18:1-11 c cis-Vaccenic acid", "g", "1413", "MUFA 18:1-11 c (18:1c n-7)", "G", 1, null
"7092", "3003", "MUFA 20:1 Eicosenoic acid", "g", "1277", "MUFA 20:1", "G", 1, null
"7093", "3003", "MUFA 20:1 c cis-Eicosenoic acid", "g", "2012", "MUFA 20:1 c", "G", 1, null
"7094", "3003", "MUFA 22:1 Erucic acid", "g", "1279", "MUFA 22:1", "G", 1, null
"7095", "3003", "MUFA 22:1 c cis-Erucic acid", "g", "1317", "MUFA 22:1 c", "G", 1, null
"7096", "3003", "MUFA 22:1 n-9 Brassidic acid", "g", "2014", "MUFA 22:1 n-9", "G", 1, null
"7097", "3003", "MUFA 22:1 n-11 Cetoleic acid", "g", "2015", "MUFA 22:1 n-11", "G", 1, null
"7098", "3003", "MUFA 24:1 c cis-Nervonic acid", "g", "1312", "MUFA 24:1 c", "G", 1, null
"7121", "3003", "Other monounsaturated fatty acids", "g", "1319", "Fatty acids, monounsat., other", "G", 1, null

#   PUFA fractions (parent: 3004)
"7099", "3004", "PUFA 16:2 Hexadecadienoic acid", "g", "1324", "PUFA 16:2", "G", 1, null
"7100", "3004", "PUFA 18:2 n-6 Linoleic acid (Omega-6)", "g", "1316", "PUFA 18:2 n-6 c,c", "G", 1, null
"7100", "3004", "PUFA 18:2 n-6 Linoleic acid (Omega-6)", "g", "2016", "PUFA 18:2 c", "G", 2, null
"7100", "3004", "PUFA 18:2 n-6 Linoleic acid (Omega-6)", "g", "1269", "PUFA 18:2", "G", 3, null
"7101", "3004", "PUFA 18:2 CLAs", "g", "1311", "PUFA 18:2 CLAs", "G", 1, null
